,n=10,n=11,n=12,n=13,n=14,n=15,n=16,n=17,n=18,n=19,n=20,n=21,n=22,n=23,n=24,n=25,n=26,n=27,n=28,n=29,n=30,n=31,n=32,n=33,n=34,n=35,n=36,n=37,n=38,n=39,n=40,n=41,n=42,n=43,n=44,n=45,n=46,n=47,n=48,n=49,n=50,n=51,n=52,n=53,n=54,n=55,n=56,n=57,n=58,n=59,n=60,n=61,n=62,n=63,n=64,n=65,n=66,n=67,n=68,n=69,n=70,n=71,n=72,n=73,n=74,n=75,n=76,n=77,n=78,n=79,n=80,n=81,n=82,n=83,n=84,n=85,n=86,n=87,n=88,n=89,n=90,n=91,n=92,n=93,n=94,n=95,n=96,n=97,n=98,n=99,n=100,n=101,n=102,n=103,n=104,n=105,n=106,n=107,n=108,n=109,n=110,n=111,n=112,n=113,n=114,n=115,n=116,n=117,n=118,n=119,n=120,n=121,n=122,n=123,n=124,n=125,n=126,n=127,n=128,n=129,n=130,n=131,n=132,n=133,n=134,n=135,n=136,n=137,n=138,n=139,n=140,n=141,n=142,n=143,n=144,n=145,n=146,n=147,n=148,n=149,n=150,n=151,n=152,n=153,n=154,n=155,n=156,n=157,n=158,n=159,n=160,n=161,n=162,n=163,n=164,n=165,n=166,n=167,n=168,n=169,n=170,n=171,n=172,n=173,n=174,n=175,n=176,n=177,n=178,n=179,n=180,n=181,n=182,n=183,n=184,n=185,n=186,n=187,n=188,n=189,n=190,n=191,n=192,n=193,n=194,n=195,n=196,n=197,n=198,n=199
p=0.1,0.0016694068908691406,0.0008637905120849609,0.001007080078125,0.0003104209899902344,0.00031948089599609375,0.0002789497375488281,0.0003440380096435547,0.0003631114959716797,0.0004487037658691406,0.0002961158752441406,0.0004050731658935547,0.0005855560302734375,0.0004165172576904297,0.0005443096160888672,0.0004611015319824219,0.0006239414215087891,0.0005602836608886719,0.0006642341613769531,0.0007236003875732422,0.0007009506225585938,0.0006072521209716797,0.0007066726684570312,0.00066375732421875,0.0007843971252441406,0.0008006095886230469,0.0010514259338378906,0.0010364055633544922,0.0009524822235107422,0.0012707710266113281,0.0012001991271972656,0.0011975765228271484,0.0012106895446777344,0.0012257099151611328,0.0014050006866455078,0.0014491081237792969,0.0014338493347167969,0.0015652179718017578,0.0016162395477294922,0.0018076896667480469,0.001767873764038086,0.0021991729736328125,0.001989603042602539,0.0019435882568359375,0.0021920204162597656,0.0020856857299804688,0.0023126602172851562,0.002470731735229492,0.002299785614013672,0.002480745315551758,0.0024406909942626953,0.0027513504028320312,0.0026085376739501953,0.002933502197265625,0.002913236618041992,0.003031015396118164,0.003202676773071289,0.003413677215576172,0.003636598587036133,0.0036542415618896484,0.003870248794555664,0.004480838775634766,0.004309415817260742,0.004045963287353516,0.004224300384521484,0.004494190216064453,0.004673004150390625,0.004936933517456055,0.004807233810424805,0.005120992660522461,0.005197048187255859,0.005404233932495117,0.005441904067993164,0.005908012390136719,0.006091117858886719,0.00924539566040039,0.006345272064208984,0.0067784786224365234,0.006888628005981445,0.007349967956542969,0.007242441177368164,0.009323358535766602,0.007643699645996094,0.007847785949707031,0.007661104202270508,0.00825810432434082,0.008479833602905273,0.008727312088012695,0.009169816970825195,0.009178638458251953,0.009537696838378906,0.009521484375,0.009937286376953125,0.010761260986328125,0.013211727142333984,0.010829687118530273,0.011543512344360352,0.011686563491821289,0.011405229568481445,0.013414382934570312,0.012156486511230469,0.012380361557006836,0.012634515762329102,0.013280153274536133,0.01316213607788086,0.013829231262207031,0.014256954193115234,0.014455795288085938,0.014404296875,0.015206098556518555,0.01570296287536621,0.016115665435791016,0.01634383201599121,0.016884803771972656,0.01732921600341797,0.018070697784423828,0.017401456832885742,0.018624544143676758,0.019321918487548828,0.019632577896118164,0.020437240600585938,0.021308183670043945,0.020859718322753906,0.02214837074279785,0.021271705627441406,0.022361278533935547,0.022396087646484375,0.023171424865722656,0.023122310638427734,0.023950815200805664,0.025124073028564453,0.025985002517700195,0.025964021682739258,0.028386354446411133,0.028075218200683594,0.028393983840942383,0.02903151512145996,0.03014659881591797,0.03070688247680664,0.03034830093383789,0.029990673065185547,0.03164482116699219,0.047066450119018555,0.04283714294433594,0.04438161849975586,0.042084455490112305,0.05165672302246094,0.04842972755432129,0.049576520919799805,0.05072808265686035,0.05001401901245117,0.052468299865722656,0.04223346710205078,0.04765605926513672,0.041902780532836914,0.05122828483581543,0.05379223823547363,0.05260920524597168,0.05263924598693848,0.05830883979797363,0.04942727088928223,0.052869558334350586,0.04607105255126953,0.06134915351867676,0.06289315223693848,0.07030344009399414,0.06660795211791992,0.06401658058166504,0.05747675895690918,0.0612187385559082,0.06932616233825684,0.055429697036743164,0.05802202224731445,0.0677497386932373,0.0655052661895752,0.06603837013244629,0.05890393257141113,0.07675981521606445,0.07071971893310547,0.0724787712097168,0.07416343688964844,0.06602740287780762,0.08240532875061035,0.06941390037536621,0.08688759803771973,0.07897138595581055,0.08111166954040527,0.08647704124450684,0.06963849067687988,0.08389830589294434,0.07853484153747559
p=0.2,0.00029277801513671875,0.000335693359375,0.0003292560577392578,0.00039196014404296875,0.00041866302490234375,0.00047588348388671875,0.0005173683166503906,0.0005731582641601562,0.000637054443359375,0.0007002353668212891,0.0008058547973632812,0.0008218288421630859,0.0010533332824707031,0.0009200572967529297,0.0011265277862548828,0.0010614395141601562,0.0012819766998291016,0.001260995864868164,0.0014538764953613281,0.0014486312866210938,0.0015723705291748047,0.0015518665313720703,0.001806497573852539,0.0018117427825927734,0.0019989013671875,0.00215911865234375,0.002241373062133789,0.002262592315673828,0.002458810806274414,0.002542734146118164,0.002737283706665039,0.0027151107788085938,0.0030486583709716797,0.0030634403228759766,0.003246307373046875,0.0032601356506347656,0.003672361373901367,0.0037534236907958984,0.003915548324584961,0.00393366813659668,0.004343271255493164,0.0043871402740478516,0.0044324398040771484,0.0042073726654052734,0.003240823745727539,0.003356456756591797,0.005018711090087891,0.0043315887451171875,0.006104469299316406,0.005896806716918945,0.0048410892486572266,0.006162405014038086,0.006096601486206055,0.00730586051940918,0.00638580322265625,0.007198810577392578,0.0050411224365234375,0.005613088607788086,0.0055921077728271484,0.005509376525878906,0.005785703659057617,0.004252910614013672,0.004306793212890625,0.004328727722167969,0.00447535514831543,0.004720449447631836,0.004770517349243164,0.0050580501556396484,0.0053980350494384766,0.005295276641845703,0.0052187442779541016,0.005592823028564453,0.0056798458099365234,0.005781888961791992,0.006245851516723633,0.006182193756103516,0.0064067840576171875,0.006767988204956055,0.006813764572143555,0.007177829742431641,0.007505893707275391,0.008751630783081055,0.007723093032836914,0.007943391799926758,0.008153676986694336,0.008663654327392578,0.00868535041809082,0.008997917175292969,0.00930023193359375,0.00998997688293457,0.009890079498291016,0.010246515274047852,0.010416269302368164,0.01040959358215332,0.010967493057250977,0.01089930534362793,0.01174163818359375,0.011824846267700195,0.012404918670654297,0.012609004974365234,0.012872695922851562,0.012943267822265625,0.013161897659301758,0.013507604598999023,0.013927221298217773,0.014279842376708984,0.014871358871459961,0.015043258666992188,0.015513420104980469,0.015540599822998047,0.016000747680664062,0.016331195831298828,0.016681432723999023,0.017020225524902344,0.01750326156616211,0.018166065216064453,0.01815342903137207,0.01866626739501953,0.01912403106689453,0.021260738372802734,0.019948244094848633,0.02077770233154297,0.020812511444091797,0.021819591522216797,0.02290177345275879,0.02374863624572754,0.023026466369628906,0.023068666458129883,0.025482654571533203,0.024734973907470703,0.0256345272064209,0.025164365768432617,0.02665877342224121,0.027300357818603516,0.028390169143676758,0.02888202667236328,0.029337406158447266,0.028875350952148438,0.03146171569824219,0.030315876007080078,0.0318300724029541,0.04008364677429199,0.045325279235839844,0.04637742042541504,0.05959153175354004,0.04941129684448242,0.046770334243774414,0.04855656623840332,0.05109000205993652,0.04995012283325195,0.053762197494506836,0.047643184661865234,0.04913973808288574,0.04682207107543945,0.0541834831237793,0.050095319747924805,0.048455238342285156,0.06811165809631348,0.056550025939941406,0.05584573745727539,0.053655147552490234,0.10048198699951172,0.06189537048339844,0.05025649070739746,0.05959820747375488,0.04854607582092285,0.05548095703125,0.05782365798950195,0.07797861099243164,0.06393313407897949,0.05672311782836914,0.06638789176940918,0.06474924087524414,0.055145978927612305,0.0680229663848877,0.06851863861083984,0.06792950630187988,0.06683945655822754,0.06976127624511719,0.0666041374206543,0.07533121109008789,0.08188319206237793,0.07677650451660156,0.08268547058105469,0.07467532157897949,0.06924247741699219,0.07867169380187988,0.07119989395141602,0.07422614097595215,0.08323001861572266
p=0.3,0.0002951622009277344,0.0003056526184082031,0.0003559589385986328,0.0004203319549560547,0.0004329681396484375,0.0004980564117431641,0.0005180835723876953,0.0006079673767089844,0.0007195472717285156,0.0007176399230957031,0.0008249282836914062,0.0008838176727294922,0.0009517669677734375,0.0010559558868408203,0.0010848045349121094,0.0011548995971679688,0.0012683868408203125,0.0013549327850341797,0.0014269351959228516,0.0014891624450683594,0.0015726089477539062,0.0016148090362548828,0.0019958019256591797,0.0018608570098876953,0.001959085464477539,0.002134084701538086,0.0021543502807617188,0.002302885055541992,0.002313852310180664,0.001332998275756836,0.0012629032135009766,0.001270294189453125,0.001211404800415039,0.0037560462951660156,0.004675388336181641,0.00471043586730957,0.002989530563354492,0.0036475658416748047,0.0034296512603759766,0.002472400665283203,0.0028514862060546875,0.0025398731231689453,0.0022957324981689453,0.004300117492675781,0.004877805709838867,0.0049512386322021484,0.002419710159301758,0.003564119338989258,0.00360107421875,0.0038633346557617188,0.004777669906616211,0.006002187728881836,0.006581544876098633,0.006804943084716797,0.00522613525390625,0.004766941070556641,0.005361080169677734,0.005354404449462891,0.005723476409912109,0.0057485103607177734,0.011540412902832031,0.00906825065612793,0.006598949432373047,0.0047991275787353516,0.004589080810546875,0.004648447036743164,0.0049512386322021484,0.005259275436401367,0.005198240280151367,0.005501508712768555,0.0055391788482666016,0.005883455276489258,0.006032228469848633,0.006357908248901367,0.0064356327056884766,0.006757974624633789,0.006751060485839844,0.007008075714111328,0.0071790218353271484,0.0074155330657958984,0.007797718048095703,0.0077364444732666016,0.008262157440185547,0.008258342742919922,0.008518695831298828,0.00836181640625,0.009310007095336914,0.009285449981689453,0.00992131233215332,0.009916543960571289,0.010146617889404297,0.009991884231567383,0.011164426803588867,0.010464191436767578,0.01128697395324707,0.012399435043334961,0.01170206069946289,0.01195073127746582,0.012340307235717773,0.012487173080444336,0.012966394424438477,0.012990951538085938,0.01354670524597168,0.01383829116821289,0.014261722564697266,0.014657258987426758,0.014992237091064453,0.015258550643920898,0.015681743621826172,0.01592850685119629,0.016881465911865234,0.016820430755615234,0.017469167709350586,0.0177915096282959,0.018860578536987305,0.017794132232666016,0.018358707427978516,0.01932048797607422,0.019744396209716797,0.021065473556518555,0.020383596420288086,0.02097797393798828,0.021596908569335938,0.02191162109375,0.022852420806884766,0.023029088973999023,0.02387237548828125,0.02426767349243164,0.025079011917114258,0.025331497192382812,0.027055025100708008,0.025651216506958008,0.027119874954223633,0.027474403381347656,0.028222322463989258,0.029776573181152344,0.02951502799987793,0.030584335327148438,0.03072071075439453,0.03068995475769043,0.03166818618774414,0.045494794845581055,0.034563302993774414,0.04822945594787598,0.04170489311218262,0.041254520416259766,0.047606706619262695,0.04476499557495117,0.05106544494628906,0.05075335502624512,0.05283856391906738,0.05390429496765137,0.04563617706298828,0.05889749526977539,0.05505871772766113,0.05946016311645508,0.051717281341552734,0.05418276786804199,0.055857181549072266,0.04102611541748047,0.05849504470825195,0.057872772216796875,0.05884408950805664,0.05418586730957031,0.07245540618896484,0.07472729682922363,0.05866432189941406,0.0616452693939209,0.054704904556274414,0.06003093719482422,0.06748199462890625,0.07585811614990234,0.07007789611816406,0.08005809783935547,0.06879544258117676,0.05191326141357422,0.0825202465057373,0.06277132034301758,0.07845115661621094,0.07979154586791992,0.07770490646362305,0.07118749618530273,0.06860637664794922,0.0806121826171875,0.07231998443603516,0.10319948196411133,0.07289981842041016,0.07157254219055176,0.07770729064941406,0.08450961112976074
p=0.4,0.00034165382385253906,0.0003066062927246094,0.00035881996154785156,0.00039958953857421875,0.0004620552062988281,0.0004661083221435547,0.0005166530609130859,0.0006546974182128906,0.0006725788116455078,0.0007445812225341797,0.0008380413055419922,0.0008428096771240234,0.0009291172027587891,0.0010464191436767578,0.001100301742553711,0.0011851787567138672,0.0012679100036621094,0.0012736320495605469,0.001428365707397461,0.00147247314453125,0.0015645027160644531,0.0016069412231445312,0.0017066001892089844,0.001865386962890625,0.0020246505737304688,0.002227306365966797,0.0022125244140625,0.0023643970489501953,0.002401590347290039,0.002628803253173828,0.0027692317962646484,0.0027098655700683594,0.0030095577239990234,0.003154277801513672,0.0033152103424072266,0.003391265869140625,0.0036215782165527344,0.003606081008911133,0.004010677337646484,0.003962516784667969,0.004247426986694336,0.004381418228149414,0.0046236515045166016,0.004687309265136719,0.005032777786254883,0.005164623260498047,0.005440950393676758,0.0053827762603759766,0.005800485610961914,0.005897998809814453,0.0061969757080078125,0.004239559173583984,0.003193378448486328,0.0032057762145996094,0.005141496658325195,0.004794120788574219,0.005088329315185547,0.005292654037475586,0.006857156753540039,0.011156558990478516,0.007386922836303711,0.00450587272644043,0.004256725311279297,0.004395008087158203,0.004484415054321289,0.004857778549194336,0.004763364791870117,0.004922151565551758,0.005488157272338867,0.0052678585052490234,0.005519866943359375,0.005574226379394531,0.005877256393432617,0.006058454513549805,0.006459474563598633,0.006365060806274414,0.007071256637573242,0.006798267364501953,0.007428169250488281,0.0074062347412109375,0.0076334476470947266,0.007920503616333008,0.007987499237060547,0.008066654205322266,0.008858203887939453,0.008701086044311523,0.009059667587280273,0.008991718292236328,0.009652853012084961,0.009773969650268555,0.010142803192138672,0.00990915298461914,0.010616064071655273,0.010802268981933594,0.010970592498779297,0.011057615280151367,0.011709213256835938,0.011862039566040039,0.012130022048950195,0.012388467788696289,0.013011693954467773,0.013050556182861328,0.014209270477294922,0.013500452041625977,0.014129400253295898,0.014510869979858398,0.015056371688842773,0.014787435531616211,0.01558828353881836,0.015828371047973633,0.016423702239990234,0.017121553421020508,0.01711750030517578,0.0174715518951416,0.01804375648498535,0.01785564422607422,0.018792390823364258,0.019080400466918945,0.01995563507080078,0.020348072052001953,0.020764589309692383,0.021158933639526367,0.02138209342956543,0.021701335906982422,0.022551536560058594,0.02286982536315918,0.023775339126586914,0.024351119995117188,0.029416322708129883,0.025067567825317383,0.026282787322998047,0.025672197341918945,0.02691817283630371,0.028230667114257812,0.0281527042388916,0.028856754302978516,0.029384851455688477,0.030373811721801758,0.03067326545715332,0.030610322952270508,0.03272390365600586,0.04277205467224121,0.035170555114746094,0.03157329559326172,0.053015708923339844,0.05386948585510254,0.04134082794189453,0.041940927505493164,0.05049896240234375,0.03875017166137695,0.04113459587097168,0.05023598670959473,0.0432744026184082,0.04203009605407715,0.04703569412231445,0.05404496192932129,0.056143999099731445,0.05915498733520508,0.05821585655212402,0.056702613830566406,0.05867409706115723,0.06177163124084473,0.05562281608581543,0.06271243095397949,0.07228827476501465,0.05984187126159668,0.06414341926574707,0.06004762649536133,0.06439709663391113,0.05949902534484863,0.06093907356262207,0.06590437889099121,0.061699628829956055,0.06419253349304199,0.06823968887329102,0.08295035362243652,0.0709228515625,0.07223153114318848,0.07355618476867676,0.058786630630493164,0.06034541130065918,0.07029533386230469,0.07459282875061035,0.0816354751586914,0.08318829536437988,0.07899045944213867,0.08238935470581055,0.08155679702758789,0.07424426078796387,0.0733332633972168
